Ref,Val,Package,PosX,PosY,Rot,Side
"U1","MOUDLE-SEEEDUINO-XIAO","MCU_Seeed_ESP32C3",193.040000,-61.858400,180.000000,bottom
"SW1","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",119.786400,-56.134000,0.000000,top
"SW2","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",119.837200,-75.184000,0.000000,top
"SW3","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",119.786400,-94.284800,0.000000,top
"SW4","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",138.882400,-56.134000,0.000000,top
"SW5","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",138.975000,-75.221000,0.000000,top
"SW6","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",138.836400,-94.284800,0.000000,top
"SW7","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",157.937200,-56.083200,0.000000,top
"SW8","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",157.988000,-75.234800,0.000000,top
"SW9","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",157.988000,-94.284800,0.000000,top
"SW10","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",177.038000,-56.083200,0.000000,top
"SW11","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",177.190400,-75.184000,0.000000,top
"SW12","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",177.241200,-94.386400,0.000000,top
"SW13","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",186.708400,-96.876800,0.000000,top
